section,majors,double_major,major1,major2,cs105,python_comfort,goals_char,topics
D,"Accountancy,Finance",1,Accountancy,Finance,0,4,85,Not sure any specifics because I am new to it. 
D,Accountancy,0,Accountancy,,1,2,91,Mainly Python
H,Finance,0,Finance,,1,2,218,Not specifically.
H,"Marketing,Supply Chain Management",1,Marketing,Supply Chain Management,1,1,175,I want to learn about the basics of Python because it is a programming language that is very often used. 
L,Marketing,0,Marketing,,0,2,247,I definitely want to learn more about python and become more comfortable using it.
D,Accountancy,0,Accountancy,,1,3,48,
D,Marketing,0,Marketing,,0,2,52,Python 
H,"Information Systems,Marketing",1,Information Systems,Marketing,1,3,98,No
L,Accountancy,0,Accountancy,,1,3,142,I have so little knowledge in regards to data science that I am interested in learning anything about it!
H,"Information Systems,Supply Chain Management",1,Information Systems,Supply Chain Management,1,2,286,I wouldn't say that there is something specific that I'm looking for in this course but I'm definitely looking forward to learning more about coding.
H,"Accountancy,Finance",1,Accountancy,Finance,1,5,98,I want to know more about dataframe
L,"Accountancy,Finance",1,Accountancy,Finance,0,2,139,Python and data analysis.
L,Marketing,0,Marketing,,1,3,166,I would like to become comfortable with python and excel.
L,"Accountancy,Finance",1,Accountancy,Finance,1,4,74,I am open to anything!
L,"Information Systems,Marketing",1,Information Systems,Marketing,1,1,145,Introductory Python
D,"Information Systems,Marketing",1,Information Systems,Marketing,1,2,224,"None specifically, but I am hoping to apply skills learned from this course to work experience I may pursue as soon as this summer."
L,"Finance,Information Systems",1,Finance,Information Systems,1,4,199,Just general python skills and learning how to apply that to data sets
H,Marketing,0,Marketing,,0,2,253,"no specifically, more of just a better understanding on python"
H,Undeclared,0,Undeclared,,1,2,97,I don't know of any in specific
D,Accountancy,0,Accountancy,,1,2,27,Data Mining
H,"Accountancy,Finance",1,Accountancy,Finance,1,1,59,"Python, R and MySQL"
L,"Finance,Information Systems",1,Finance,Information Systems,1,2,132,Not off the top of my head. I am open to everything.
H,Finance,0,Finance,,1,2,299,Nothing in particular comes to mind.
D,"Finance,Information Systems",1,Finance,Information Systems,1,3,51,A greater understanding and comfortability with reading and writing code.
D,Undeclared,0,Undeclared,,1,4,230,I would like to learn more about data science and I want to be able to refine my python skills as well as learn more about python as a coding language.
L,"Accountancy,Information Systems",1,Accountancy,Information Systems,1,1,149,"I am interested to learn how to apply the skills we learn in Python into life outside of class, as well as the application of what we learn about data mining and how it relates to business."
H,Finance,0,Finance,,1,2,196,How to find team efficiency rates for NBA teams.
H,"Accountancy,Other (If Other\, please share at bottom)",1,Accountancy,SIE,1,5,428,"I am especially interested in the visualization part. Just like accounting, all the number we got is meaningless, how to understand and the decision made based on the number makes these numbers valuable. So, it is really important to know how to show the result as a story to others. This will be really helpful for me if I want to get venture capital because I need to use not only data but also a story to convince them."
H,"Operations Management,Supply Chain Management",1,Operations Management,Supply Chain Management,1,2,298,"I had attended a sports analytics club meeting on campus last semester in which programming was demonstrated using R, a language and environment for statistical computing. Although I do not know much at all about R, nor have I used it, I am hoping to try during this semester since it seems to relate to this class."
L,Accountancy,0,Accountancy,,1,2,116,"Due to my weak background with this information, there isn't any sort of topic on the top of my head that I want to particularly learn. "
L,"Information Systems,Marketing",1,Information Systems,Marketing,1,2,182,I'd like to practice my python skills a lot and really understand data mining.
L,Finance,0,Finance,,0,1,292,Nothing in specific other than learning how to write and edit code. 
L,"Accountancy,Other (If Other\, please share at bottom)",1,Accountancy,Data Science,1,3,253,"nothing in particular as I am still not sure exactly what data science is. Anything I learn will be interesting to me as this is mostly all new to me. Ultimately I want to be able to look at a data set and be able to make it so anyone, especially those who do not know anything about data science, is able to decipher what the data is saying. "
L,"Finance,Supply Chain Management",1,Finance,Supply Chain Management,1,2,154,Coding combined with excel
L,Accountancy,0,Accountancy,,1,3,240,I would like to go back over moving data between multiple files using code again. 
L,"Information Systems,Marketing",1,Information Systems,Marketing,1,3,40,How to code a bigger project or spend a long time conceptualizing and creating code.
L,Accountancy,0,Accountancy,,1,3,71,python code
,Finance,0,Finance,,1,2,213,I am interested it all mostly and I think I really just want to learn more about python. 
L,Finance,0,Finance,,1,4,381,How to create algorithms using historical data. There are a couple methods I used but they're really rudimentary and not really effective. 
L,Accountancy,0,Accountancy,,1,2,204,I would like to learn about the Google Collab because it seems like something that I should already know but don't.
L,Accountancy,0,Accountancy,,1,2,369,I would like to learn more about data algorithms and how modern business jobs use them to do their jobs. For example different algorithms that can help accountants etc. 
L,Marketing,0,Marketing,,1,2,211,I would like to learn about data mining as well as refreshers on how to write simple code lines. I would also like to learn more about python and Jupyter.
