,College Name,State,Public_or_Private,Apps received,Apps accepted,New students,Percent from top 10%,Percent from top 25%,FT undergrads,PT undergrads,in-state tuition,out-of-state tuition,room,board,fees,book costs,personal costs,PhD Faculty,faculty/student ratio,Graduation rate
0,Alaska Pacific University,AK,2,193.0,146.0,55.0,16.0,44.0,249.0,869.0,7560.0,7560.0,1620.0,2500.0,130.0,800.0,1500.0,76.0,11.9,15.0
2,University of Alaska Southeast,AK,1,146.0,117.0,89.0,4.0,24.0,492.0,1849.0,1742.0,5226.0,2514.0,2250.0,34.0,500.0,1162.0,39.0,9.5,39.0
9,Birmingham-Southern College,AL,2,805.0,588.0,287.0,67.0,88.0,1376.0,207.0,11660.0,11660.0,2050.0,2430.0,120.0,400.0,900.0,74.0,14.0,72.0
11,Huntingdon College,AL,2,608.0,520.0,127.0,26.0,47.0,538.0,126.0,8080.0,8080.0,1380.0,2540.0,100.0,500.0,1100.0,63.0,11.4,44.0
21,Talladega College,AL,2,4414.0,1500.0,335.0,30.0,60.0,908.0,119.0,5666.0,5666.0,1424.0,1540.0,418.0,1000.0,1400.0,56.0,15.5,46.0
25,University of Alabama at Birmingham,AL,1,1797.0,1260.0,938.0,24.0,35.0,6960.0,4698.0,2220.0,4440.0,1935.0,3240.0,291.0,750.0,2200.0,96.0,6.7,33.0
31,Arkansas College (Lyon College),AR,2,708.0,334.0,166.0,46.0,74.0,530.0,182.0,8644.0,8644.0,2382.0,1540.0,120.0,500.0,800.0,79.0,12.6,54.0
37,Hendrix College,AR,2,823.0,721.0,274.0,52.0,87.0,954.0,6.0,8800.0,8800.0,1935.0,1260.0,325.0,500.0,1200.0,82.0,13.1,63.0
38,John Brown University,AR,2,605.0,405.0,284.0,24.0,53.0,961.0,99.0,6398.0,6398.0,1450.0,2222.0,148.0,400.0,1350.0,68.0,13.3,75.0
45,Harding University,AR,2,1721.0,1068.0,806.0,35.0,75.0,3128.0,213.0,5504.0,5504.0,1650.0,1878.0,1016.0,700.0,910.0,71.0,17.7,73.0
48,Northern Arizona University,AZ,1,5891.0,4931.0,1973.0,23.0,48.0,11249.0,2682.0,1828.0,6746.0,1890.0,1838.0,66.0,620.0,2342.0,78.0,21.7,41.0
49,University of Arizona,AZ,1,14079.0,12238.0,4529.0,29.0,57.0,21664.0,4894.0,1828.0,7434.0,2186.0,2030.0,66.0,620.0,2550.0,91.0,19.6,49.0
62,California Polytechnic-San Luis,CA,1,7811.0,3817.0,1650.0,47.0,73.0,12911.0,1404.0,2033.0,7380.0,2335.0,2542.0,20.0,612.0,2091.0,72.0,19.8,59.0
76,Claremont McKenna College,CA,2,1860.0,767.0,227.0,71.0,93.0,887.0,1.0,17000.0,17000.0,3160.0,2850.0,140.0,500.0,850.0,99.0,9.6,87.0
77,Harvey Mudd College,CA,2,1377.0,572.0,178.0,95.0,100.0,654.0,5.0,17230.0,17230.0,3320.0,3370.0,465.0,700.0,900.0,100.0,8.2,100.0
78,Pitzer College,CA,2,1133.0,630.0,220.0,37.0,73.0,750.0,30.0,17688.0,17688.0,3192.0,2708.0,1548.0,650.0,850.0,100.0,10.4,73.0
80,Scripps College,CA,2,855.0,632.0,139.0,60.0,83.0,569.0,7.0,17238.0,17238.0,3500.0,3850.0,112.0,600.0,800.0,95.0,8.2,73.0
89,Occidental College,CA,2,2324.0,1319.0,370.0,52.0,81.0,1686.0,35.0,16560.0,16560.0,2980.0,2160.0,334.0,558.0,1152.0,91.0,10.5,79.0
91,Fresno Pacific College,CA,2,346.0,274.0,146.0,51.0,87.0,704.0,63.0,9900.0,9900.0,1500.0,2170.0,174.0,630.0,1818.0,59.0,10.5,54.0
