,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month_to_month,Yes,Electronic check,29.85,29.850,No
1,5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One_year,No,Mailed check,56.95,1889.500,No
2,3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month_to_month,Yes,Mailed check,53.85,108.150,Yes
3,7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One_year,No,Bank transfer (automatic),42.3,1840.750,No
4,9237-HQITU,Female,0,No,No,2,Yes,No,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic check,70.7,151.650,Yes
5,9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Month_to_month,Yes,Electronic check,99.65,820.500,Yes
6,1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber_optic,No,Yes,No,No,Yes,No,Month_to_month,Yes,Credit card (automatic),89.1,1949.400,No
7,6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month_to_month,No,Mailed check,29.75,301.900,No
8,7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber_optic,No,No,Yes,Yes,Yes,Yes,Month_to_month,Yes,Electronic check,104.8,3046.050,Yes
9,6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One_year,No,Bank transfer (automatic),56.15,3487.950,No
10,9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month_to_month,Yes,Mailed check,49.95,587.450,No
11,7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,No,Credit card (automatic),18.95,326.800,No
12,8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,One_year,No,Credit card (automatic),100.35,5681.100,No
13,0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month_to_month,Yes,Bank transfer (automatic),103.7,5036.300,Yes
14,5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber_optic,Yes,No,Yes,Yes,Yes,Yes,Month_to_month,Yes,Electronic check,105.5,2686.050,No
15,3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,No,Credit card (automatic),113.25,7895.150,No
16,8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One_year,No,Mailed check,20.65,1022.950,No
17,9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber_optic,Yes,No,Yes,No,Yes,Yes,Two_year,No,Bank transfer (automatic),106.7,7382.250,No
18,4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month_to_month,No,Credit card (automatic),55.2,528.350,Yes
19,4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber_optic,No,Yes,Yes,No,No,Yes,Month_to_month,Yes,Electronic check,90.05,1862.900,No
20,8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month_to_month,Yes,Electronic check,39.65,39.650,Yes
21,1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One_year,No,Bank transfer (automatic),19.8,202.250,No
22,1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month_to_month,No,Mailed check,20.15,20.150,Yes
23,3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two_year,Yes,Credit card (automatic),59.9,3505.100,No
24,6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month_to_month,No,Credit card (automatic),59.6,2970.300,No
25,6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month_to_month,Yes,Bank transfer (automatic),55.3,1530.600,No
26,6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber_optic,No,Yes,No,No,Yes,Yes,Month_to_month,Yes,Electronic check,99.35,4749.150,Yes
27,8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month_to_month,No,Electronic check,30.2,30.200,Yes
28,5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,Yes,Credit card (automatic),90.25,6369.450,No
29,8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month_to_month,Yes,Mailed check,64.7,1093.100,Yes
30,3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber_optic,Yes,Yes,Yes,Yes,No,No,Two_year,Yes,Credit card (automatic),96.35,6766.950,No
31,4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber_optic,No,No,Yes,No,Yes,Yes,Month_to_month,Yes,Credit card (automatic),95.5,181.650,No
32,6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One_year,No,Mailed check,66.15,1874.450,No
33,7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month_to_month,No,Bank transfer (automatic),20.2,20.200,No
34,3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month_to_month,No,Bank transfer (automatic),45.25,45.250,No
35,6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber_optic,Yes,Yes,No,Yes,Yes,No,Two_year,No,Bank transfer (automatic),99.9,7251.700,No
36,6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic check,69.7,316.900,Yes
37,6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber_optic,No,No,Yes,No,No,No,Month_to_month,Yes,Credit card (automatic),74.8,3548.300,No
38,5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month_to_month,Yes,Electronic check,106.35,3549.250,Yes
39,8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Month_to_month,Yes,Bank transfer (automatic),97.85,1105.400,Yes
40,8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One_year,No,Mailed check,49.55,475.700,No
41,9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two_year,Yes,Credit card (automatic),69.2,4872.350,No
42,9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One_year,No,Mailed check,20.75,418.250,No
43,4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two_year,Yes,Credit card (automatic),79.85,4861.450,No
44,4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month_to_month,Yes,Electronic check,76.2,981.450,No
45,3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber_optic,No,No,No,No,No,Yes,Month_to_month,Yes,Electronic check,84.5,3906.700,No
46,5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month_to_month,No,Mailed check,49.25,97.000,No
47,7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber_optic,No,No,No,No,Yes,No,Month_to_month,Yes,Electronic check,80.65,144.150,Yes
48,7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two_year,Yes,Credit card (automatic),79.75,4217.800,No
