"","has_handle","counts","counts_tobit","fem_dum","dem_dum","rep_dum","state_num","sentiment_total","party","womens_issues","education","health_care","SquireXfemale","np_score","ideology_total","BlackorLatino_legislator","squire","years_since_elected"
"1",1,457,457,0,0,1,24,0.0547046065330505,"R",0.0547045916318893,0.0109409186989069,0.0437636747956276,0,NA,0.129102855920792,NA,0.243000000715256,9
"2",1,3240,3240,0,0,1,9,0.744135797023773,"R",0.0268518514931202,0.012962962500751,0.0138888889923692,0,0.651,0.190432101488113,NA,0.245000004768372,NA
"3",0,NA,0,0,0,1,18,NA,"R",NA,NA,NA,0,NA,NA,NA,0.187000006437302,12
"4",1,NA,0,0,1,0,44,NA,"D",NA,NA,NA,0,NA,NA,NA,0.178000003099442,9
"5",1,805,805,0,0,1,9,0.696894407272339,"R",0.0273291915655136,0.0260869562625885,0.00124223600141704,0,NA,0.301863372325897,NA,0.245000004768372,NA
"6",1,1056,1056,0,0,1,43,0.434659093618393,"R",0.0464015156030655,0.00757575780153275,0.0388257578015327,0,NA,0.272727280855179,NA,0.178000003099442,17
"7",1,1953,1953,0,0,1,9,0.602150559425354,"R",0.0332821309566498,0.0256016384810209,0.00768049154430628,0,0.722,0.213005632162094,NA,0.245000004768372,NA
"8",0,NA,0,1,1,0,44,NA,"D",NA,NA,NA,0.178000003099442,NA,NA,NA,0.178000003099442,3
"9",1,3187,3187,1,1,0,4,0.300282388925552,"D",0.101976782083511,0.0900533422827721,0.0119234388694167,0.263999998569489,NA,0.0232193320989609,NA,0.263999998569489,9
"10",1,1535,1535,0,0,1,25,0.592833876609802,"R",0.0097719868645072,0.00521172629669309,0.00456026056781411,0,NA,0.176547229290009,NA,0.160999998450279,11
"11",1,NA,0,0,1,0,18,NA,"D",NA,NA,NA,0,0.093,NA,NA,0.187000006437302,12
"12",1,3206,3206,0,0,1,9,-0.0786026120185852,"R",0.0343106687068939,0.010917030274868,0.0233936365693808,0,0.714,0.0848409235477448,NA,0.245000004768372,NA
"13",1,2012,2012,0,0,1,43,0.704274356365204,"R",0.0497017875313759,0.0402584485709667,0.00944333989173174,0,NA,0.108349904417992,NA,0.178000003099442,9
"14",1,NA,0,0,0,1,43,NA,"R",NA,NA,NA,0,NA,NA,NA,0.178000003099442,2
"15",0,NA,0,0,0,1,25,NA,"R",NA,NA,NA,0,1.309,NA,NA,0.160999998450279,15
"16",0,NA,0,0,0,1,18,NA,"R",NA,NA,NA,0,0.553,NA,NA,0.187000006437302,8
"17",1,1526,1526,0,0,1,25,0.472477078437805,"R",0.0196592397987843,0.0144167756661773,0.00524246413260698,0,0.519,0.15596330165863,NA,0.160999998450279,7
"18",1,3,3,0,0,1,43,0,"R",0,0,0,0,NA,-0.333333343267441,NA,0.178000003099442,11
"19",1,852,852,0,0,1,43,0.468309879302979,"R",0.0387323945760727,0.00704225338995457,0.031690139323473,0,NA,0.181924879550934,NA,0.178000003099442,27
"20",0,NA,0,0,0,1,43,NA,"R",NA,NA,NA,0,NA,NA,NA,0.178000003099442,11
"21",1,715,715,0,0,1,4,0.43636366724968,"R",0.0475524477660656,0.0237762238830328,0.0237762238830328,0,1.202,0.265734255313873,NA,0.263999998569489,6
"22",0,NA,0,0,1,0,25,NA,"D",NA,NA,NA,0,-0.625,NA,NA,0.160999998450279,23
"23",1,3,3,0,0,1,43,0.666666686534882,"R",0,0,0,0,NA,0,NA,0.178000003099442,7
"24",1,1337,1337,1,1,0,44,0.249065101146698,"D",0.0314136147499084,0.00972326099872589,0.0216903518885374,0.178000003099442,NA,-0.0142109245061874,NA,0.178000003099442,5
"25",1,170,170,0,0,1,14,0.717647075653076,"R",0.0235294122248888,0.0235294122248888,0,0,NA,0.158823534846306,NA,0.293999999761581,NA
"26",0,NA,0,0,0,0,18,NA,"Ind",NA,NA,NA,0,0.373,NA,NA,0.187000006437302,12
"27",0,NA,0,0,0,1,44,NA,"R",NA,NA,NA,0,NA,NA,NA,0.178000003099442,9
"28",1,19,19,0,1,0,44,0.473684221506119,"D",0,0,0,0,NA,0,NA,0.178000003099442,5
"29",1,3193,3193,0,1,0,14,0.578139662742615,"D",0.0638897567987442,0.0523019097745419,0.0115878479555249,0,NA,0.0826808661222458,NA,0.293999999761581,NA
"30",0,NA,0,0,1,0,18,NA,"D",NA,NA,NA,0,-0.43,NA,NA,0.187000006437302,12
"31",1,3183,3183,0,0,1,36,0.327049970626831,"R",0.0194784794002771,0.0125667611137033,0.00691171828657389,0,NA,0.180647194385529,0,0.416999995708466,NA
"32",0,NA,0,0,0,1,48,NA,"R",NA,NA,NA,0,NA,NA,0,0.0810000002384186,NA
"33",0,NA,0,0,1,0,21,NA,"D",NA,NA,NA,0,-1.156,NA,NA,0.153999999165535,NA
"34",1,NA,0,0,1,0,11,NA,"D",NA,NA,NA,0,NA,NA,NA,0.321000009775162,NA
"35",1,1,1,0,0,1,36,0,"R",0,0,0,0,0.476,0,NA,0.416999995708466,NA
"36",0,NA,0,0,0,1,28,NA,"R",NA,NA,NA,0,NA,NA,0,0.112000003457069,2
"37",1,1924,1924,0,1,0,19,0.682952165603638,"D",0.0181912686675787,0.0119542619213462,0.00623700628057122,0,NA,0.122661128640175,0,0.430999994277954,NA
"38",0,NA,0,0,0,1,22,NA,"R",NA,NA,NA,0,1.784,NA,0,0.400999993085861,NA
"39",1,3163,3163,0,0,1,3,0.0578564703464508,"R",0.030034776777029,0.00916851125657558,0.0208662655204535,0,NA,0.246917486190796,0,0.207000002264977,NA
"40",1,2304,2304,0,1,0,19,0.700954854488373,"D",0.0525173619389534,0.0321180559694767,0.0203993059694767,0,NA,0.121961809694767,0,0.430999994277954,NA
"41",1,2244,2244,1,1,0,12,0.446078479290009,"D",0.0298573970794678,0.0089126555249095,0.0209447406232357,0.24099999666214,-1.141,0.112745091319084,0,0.24099999666214,NA
"42",0,NA,0,0,0,1,21,NA,"R",NA,NA,NA,0,NA,NA,NA,0.153999999165535,NA
"43",1,1247,1247,1,1,0,22,0.369687259197235,"D",0.0465116277337074,0.0192461907863617,0.0272654369473457,0.400999993085861,NA,0.0577385723590851,0,0.400999993085861,NA
"44",1,3194,3194,0,1,0,25,0.42892923951149,"D",0.0488415770232677,0.0262993108481169,0.0225422661751509,0,NA,0.099248580634594,NA,0.160999998450279,3
"45",1,486,486,0,1,0,41,0.683127582073212,"D",0.0864197537302971,0.0781892985105515,0.00823045242577791,0,-1.388,0.100823044776917,1,0.233999997377396,NA
